image_file,group_key,name_raw,name_norm,pred_label,confidence,uncertainty_score,reason_flag,layout_mode,bg_type,foreground_ratio,has_scale_bar,has_overlay_text,review_bucket
dataset/КБ-2014-Р1-0094_orig.jpg,КБ-2014-Р1,Плитка,плитка,плитка,0.9645898938179016,0.20494022965431213,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.462019,False,True,possible_label_noise
dataset/М102-2012-1-0949_orig.jpg,М102-2012-1,Изразец,изразец,изразец,0.9635068774223328,0.20583194494247437,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.223087,False,False,possible_label_noise
dataset/КБ-2014-Р6-068_orig.jpg,КБ-2014-Р6,Крышка,крышка,крышка,0.961168646812439,0.20829235017299652,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.190404,True,True,possible_label_noise
dataset/М102-2012-1-0847_orig.jpg,М102-2012-1,Тарелка,тарелка,тарелка,0.9591266512870789,0.22884908318519592,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.245573,True,True,possible_label_noise
dataset/КБ-2014-Р6-137_orig.jpg,КБ-2014-Р6,Крышка,крышка,крышка,0.9558081030845642,0.23360994458198547,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.215204,True,True,possible_label_noise
dataset/М102-2012-1-0603_orig.jpg,М102-2012-1,Изразец,изразец,изразец,0.9427189230918884,0.2892826497554779,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.203492,True,True,possible_label_noise
dataset/КБ-2014-Р6-091_orig.jpg,КБ-2014-Р6,Крышка,крышка,крышка,0.9403888583183289,0.31206199526786804,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.156181,True,True,possible_label_noise
dataset/Кроп-2013-155_orig.jpg,Кроп-2013-155,Блюдце,блюдце,блюдце,0.9325176477432251,0.3393259346485138,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.236026,True,True,possible_label_noise
dataset/М102-2012-1-0611_orig.jpg,М102-2012-1,Изразец,изразец,изразец,0.9297621846199036,0.34640777111053467,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.308881,False,True,possible_label_noise
dataset/М102-2012-1-0851_orig.jpg,М102-2012-1,Тарелка,тарелка,тарелка,0.9283220767974854,0.35847771167755127,possible_label_noise|layout=single-fragment|bg=white,single-fragment,white,0.176686,True,True,possible_label_noise
dataset/КБ-2014-Р6-048_orig.jpg,КБ-2014-Р6,Крышка,крышка,крышка,0.9282490611076355,0.36726996302604675,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.29676,True,True,possible_label_noise
dataset/КБ-2014-Р1-1033_orig.jpg,КБ-2014-Р1,Тарелка,тарелка,тарелка,0.9215500950813293,0.38067007064819336,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.234608,True,False,possible_label_noise
dataset/ЛАО-2012-М102-Ш5-192_orig.jpg,ЛАО-2012-М102-Ш5,Тарелка,тарелка,тарелка,0.9198479056358337,0.38738149404525757,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.31753,False,False,possible_label_noise
dataset/КБ-2014-Р6-088_orig.jpg,КБ-2014-Р6,Крышка,крышка,крышка,0.9061387181282043,0.4013337194919586,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.253126,True,True,possible_label_noise
dataset/Кроп-2013-186_orig.jpg,Кроп-2013-186,Крышка,крышка,крышка,0.9693668484687805,0.18011975288391113,visual_nuisance|layout=multi-view|bg=white,multi-view,white,0.233815,True,True,visual_nuisance
dataset/Нейш3А-2018-1390_orig.jpg,Нейш3А-2018-1390,Миска,миска,миска,0.9657175540924072,0.1981121003627777,visual_nuisance|layout=multi-view|bg=white,multi-view,white,0.376001,True,True,visual_nuisance
dataset/КБ-2014-Р6-018_orig.jpg,КБ-2014-Р6,Крышка,крышка,крышка,0.9059847593307495,0.4273710250854492,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.32721,False,True,possible_label_noise
dataset/М102-2012-1-0833_orig.jpg,М102-2012-1,Тарелка,тарелка,тарелка,0.9064218401908875,0.4659370183944702,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.253576,False,False,possible_label_noise
dataset/Нц-30-935_orig.jpg,Нц-30-935,Изразец,изразец,изразец,0.9560522437095642,0.23404145240783691,visual_nuisance|layout=single-fragment|bg=white,single-fragment,white,0.305528,True,False,visual_nuisance
dataset/КБ-2014-Р6-202_orig.jpg,КБ-2014-Р6,Миска,миска,миска,0.904547393321991,0.45069658756256104,possible_label_noise|layout=single-fragment|bg=white,single-fragment,white,0.446912,True,True,possible_label_noise
dataset/Кроп-2013-243_orig.jpg,Кроп-2013-243,Тарелка,тарелка,тарелка,0.9526175260543823,0.25324323773384094,visual_nuisance|layout=multi-view|bg=white,multi-view,white,0.390022,False,False,visual_nuisance
dataset/КБ-2014-Р3-0543_orig.jpg,КБ-2014-Р3,Крышка,крышка,крышка,0.9609144330024719,0.21254518628120422,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.198704,False,True,possible_label_noise
dataset/Нейш3А-2018-0288_orig.jpg,Нейш3А-2018-0288,Крышка,крышка,крышка,0.9519987106323242,0.2638348639011383,visual_nuisance|layout=multi-view|bg=white,multi-view,white,0.134216,True,True,visual_nuisance
dataset/КБ-2014-Р1-0320_orig.jpg,КБ-2014-Р1,Тарелка,тарелка,тарелка,0.9023233652114868,0.47730302810668945,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.276157,False,False,possible_label_noise
dataset/КБ-2014-Р3-0253_orig.jpg,КБ-2014-Р3,Изразец,изразец,изразец,0.940350353717804,0.28865450620651245,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.250514,False,False,possible_label_noise
dataset/КБ-2014-Р1-1032_orig.jpg,КБ-2014-Р1,Блюдце,блюдце,блюдце,0.8989561796188354,0.4808754324913025,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.327849,False,True,possible_label_noise
dataset/Нейш3А-2018-0244_orig.jpg,Нейш3А-2018-0244,Блюдце,блюдце,блюдце,0.9432818293571472,0.3031338155269623,visual_nuisance|layout=single-fragment|bg=white,single-fragment,white,0.57271,False,True,visual_nuisance
dataset/Нейш3А-2018-0831_orig.jpg,Нейш3А-2018-0831,Блюдце,блюдце,блюдце,0.9393414258956909,0.3161018490791321,visual_nuisance|layout=multi-view|bg=white,multi-view,white,0.347191,True,False,visual_nuisance
dataset/Нейш3А-2018-5970_orig.jpg,Нейш3А-2018-5970,Крышка,крышка,крышка,0.8964722156524658,0.5042484402656555,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.268813,False,True,possible_label_noise
dataset/М102-2012-1-1008_orig.jpg,М102-2012-1,Изразец,изразец,изразец,0.8898059129714966,0.499722421169281,possible_label_noise|layout=multi-view|bg=white,multi-view,white,0.239361,False,False,possible_label_noise
