split,image_file,group_key,true_label,pred_label,pred_id,confidence,max_probability,entropy,margin,sample_loss,correct,material_group_pred,material_group_confidence,fragm_norm_pred,fragm_norm_confidence,code,name_raw,name_norm,material_raw,material_norm,material_group,fragm_raw,fragm_norm,quality_flag,label_is_uncertain,group_has_conflict,is_very_rare,layout_mode,foreground_ratio,bg_type,has_scale_bar,has_overlay_text
train_seed,dataset/БП11-Р01-Г01-0944_orig.jpg,БП11-Р01-Г01,тарелка,тарелка,6,0.9592666029930115,0.9592666029930115,0.23376809060573578,0.9407446980476379,0.041586242616176605,True,фарфор_фаянс,0.9621277451515198,фрагмент,0.9992806315422058,БП11-Р01-Г01-0944,Тарелка,тарелка,Фаянс,фаянс,фарфор_фаянс,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.162401,white,False,False
train_seed,dataset/БП11-Р01-Г01-1055_orig.jpg,БП11-Р01-Г01,изразец,изразец,2,0.8736535906791687,0.8736535906791687,0.5578426122665405,0.8176433444023132,0.1350712925195694,True,керамика,0.982521653175354,целый,0.9685283303260803,БП11-Р01-Г01-1055,Изразец,изразец,Керамика,керамика,керамика,Целый,целый,group_conflict,False,True,False,multi-view,0.236824,white,False,False
train_seed,dataset/БП11-Р01-Г01-1065_orig.jpg,БП11-Р01-Г01,тарелка,тарелка,6,0.9650090932846069,0.9650090932846069,0.1977817267179489,0.9481489062309265,0.03561774268746376,True,фарфор_фаянс,0.9803533554077148,фрагмент,0.9879399538040161,БП11-Р01-Г01-1065,Тарелка,тарелка,Фаянс,фаянс,фарфор_фаянс,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.302795,white,False,False
train_seed,dataset/БП11-Р01-Г01-1137_orig.jpg,БП11-Р01-Г01,крышка,изразец,2,0.5426874160766602,0.5426874160766602,1.1453946828842163,0.2554115951061249,1.2473125457763672,False,керамика,0.9962902069091797,фрагмент,0.9975726008415222,БП11-Р01-Г01-1137,Крышка,крышка,Керамика,керамика,керамика,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.13873,white,False,False
train_seed,dataset/БП11-Р01-Г01-1192_orig.jpg,БП11-Р01-Г01,изразец,изразец,2,0.8994840383529663,0.8994840383529663,0.45899733901023865,0.8579235076904297,0.10593396425247192,True,керамика,0.9938431978225708,целый,0.5320543050765991,БП11-Р01-Г01-1192,Изразец,изразец,Керамика,керамика,керамика,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.322824,white,False,True
train_seed,dataset/БП11-Р01-Г01-1197_orig.jpg,БП11-Р01-Г01,крышка,крышка,3,0.7716637849807739,0.7716637849807739,0.9270589351654053,0.701160728931427,0.2592063546180725,True,металл,0.4327968657016754,фрагмент,0.9673750400543213,БП11-Р01-Г01-1197,Крышка,крышка,Белый металл,металл,металл,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.202547,white,True,False
train_seed,dataset/БП11-Р01-Г01-1247_orig.jpg,БП11-Р01-Г01,тарелка,тарелка,6,0.8629913926124573,0.8629913926124573,0.5882198810577393,0.7920306324958801,0.14735053479671478,True,фарфор_фаянс,0.9841920137405396,фрагмент,0.9986677169799805,БП11-Р01-Г01-1247,Тарелка,тарелка,Фаянс,фаянс,фарфор_фаянс,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.081709,white,False,False
train_seed,dataset/БП11-Р01-Г01-1248_orig.jpg,БП11-Р01-Г01,тарелка,тарелка,6,0.9304723143577576,0.9304723143577576,0.34136638045310974,0.9003345370292664,0.07206296175718307,True,фарфор_фаянс,0.7836578488349915,фрагмент,0.9904572367668152,БП11-Р01-Г01-1248,Тарелка,тарелка,Фаянс,фаянс,фарфор_фаянс,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.168508,white,False,False
train_seed,dataset/БП11-Р01-Г01-1251_orig.jpg,БП11-Р01-Г01,тарелка,тарелка,6,0.8178952932357788,0.8178952932357788,0.7241455316543579,0.7496251463890076,0.2010209709405899,True,фарфор_фаянс,0.9675830006599426,фрагмент,0.9886782765388489,БП11-Р01-Г01-1251,Тарелка,тарелка,Фаянс,фаянс,фарфор_фаянс,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.134159,white,False,False
train_seed,dataset/БП11-Р01-Г01-1289_orig.jpg,БП11-Р01-Г01,тарелка,тарелка,6,0.9474148154258728,0.9474148154258728,0.2761954069137573,0.9234519004821777,0.054018232971429825,True,фарфор_фаянс,0.9790520668029785,фрагмент,0.9990656971931458,БП11-Р01-Г01-1289,Тарелка,тарелка,Фаянс,фаянс,фарфор_фаянс,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.160946,white,False,False
